Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),6,2,24,15.0,30.0,94.25066545660925,28.27519963698278,21.246051118084672,35151.46736001313,98.95903718186749,31.841441032638265,0.6470760342194616,53.28719404162656,1.319825356252786,False,False
Concentrate Staging (A),2,1,9,15.0,35.0,68.0269967173055,20.40809901519165,4.771746614867582,6373.357879676848,99.76620545738032,61.28558262820315,1.4382325457315877,26.7961635080247,1.8077235411790498,True,True
Concentrate Staging (A),2,2,12,15.0,35.0,91.50901442235433,27.4527043267063,8.627136738855159,23944.280361869798,99.57730834204531,61.83041515023942,1.0691694286601787,61.071881304178035,1.7816634586278621,False,False
Concentrate Staging (A),3,1,12,15.0,35.0,79.2561588454315,23.77684765362945,6.072575914849654,9815.86339007652,99.70247055782217,53.55145867934561,1.108091929884795,33.16169770268698,1.7608984988015344,True,False
Concentrate Staging (A),3,2,15,15.0,35.0,94.2847983123319,28.28543949369957,11.87630424277059,35515.849858414025,99.41811346189266,50.96475584450373,0.9314662764549109,57.82868946239361,1.7203139890049925,False,False
Concentrate Staging (A),3,3,18,15.0,35.0,95.34397774744687,28.603193324234063,21.449923873845222,43396.45903210427,98.94904831583315,42.94773772407517,0.9211185864609239,71.33366909888207,1.65875879455026,False,False
Concentrate Staging (A),4,1,15,15.0,35.0,87.57400727300801,26.2722021819024,7.967684963526617,16369.093590182174,99.6096185711158,47.337301228652976,0.8989385045691566,39.26043831177134,1.6942365958277827,False,False
Concentrate Staging (A),4,2,18,15.0,35.0,95.11284694672835,28.533854084018504,15.666138891064632,41457.66394481405,99.23242827579301,42.84362475077854,0.8276867916825,61.353978708516856,1.6300230903030575,False,False
Concentrate Staging (A),5,1,18,15.0,35.0,92.27984506510025,27.683953519530075,10.711087063782637,26309.2624769858,99.47520396551775,41.567497777072184,0.7689880016453177,39.77855543327535,1.6019274695287702,False,False
Concentrate Staging (A),5,2,21,15.0,35.0,95.14380104401891,28.543140313205676,19.725064980595214,41642.297643682774,99.03355879565923,36.735058318154024,0.7458404317473073,57.86474661137632,1.5077725000152806,False,False
Concentrate Staging (A),6,1,21,15.0,35.0,94.15237079054705,28.245711237164112,14.20317337404505,34674.34926043347,99.30410713502964,36.35226671449693,0.6904498477934206,45.34022671311833,1.4891474418063961,False,False
Concentrate Staging (A),2,1,9,20.0,15.0,55.933768290513505,16.780130487154054,5.239516886726635,4625.01389771952,99.74328677674049,50.390782243705864,1.1786478417718014,19.216140226056407,1.3970514829743632,True,False
Concentrate Staging (A),2,2,12,20.0,15.0,67.36668154298809,20.21000446289643,6.6139935863822945,6240.690399556335,99.67594347935412,45.51802806958655,0.97861752676223,19.216140226056407,1.3970514829743632,True,False
Concentrate Staging (A),3,1,12,20.0,15.0,72.0443931748374,21.61331795245122,6.793696022921944,7283.352980531479,99.6671388523801,48.678644037052294,0.9150776677067427,32.730958817282826,1.3934826064218944,True,False
Concentrate Staging (A),3,2,15,20.0,15.0,79.70449270534262,23.911347811602784,9.026208868979243,10020.965115495468,99.55775556741895,43.08350957045547,0.8271329888705097,32.730958817282826,1.3934826064218944,True,False
